epoch,batch,loss,acc,lr
1,20375,0.09134,96.78,0.000100
2,20375,0.08315,97.06,0.000100
3,20375,0.07833,97.23,0.000100
4,20375,0.07569,97.31,0.000100
5,20375,0.07445,97.36,0.000100
6,20375,0.07219,97.44,0.000100
7,20375,0.07208,97.44,0.000100
8,20375,0.07002,97.51,0.000100
9,20375,0.06941,97.53,0.000100
10,20375,0.06937,97.53,0.000100
11,20375,0.06823,97.58,0.000100
12,20375,0.06775,97.58,0.000100
